,Date,Open,High,Low,Close,Volume,fast,slow,signal
31,1629054000000,46290.46,46400,46221,46229.99,2281.4,46102.8584655528,46008.229695803,0
32,1629054300000,46229.99,46238.96,46171.62,46180.43,1056.367,46112.5549073587,46019.3393928479,0
33,1629054600000,46180.42,46190,46133.36,46179,637.94,46120.8605439388,46029.6400771803,0
34,1629054900000,46178.99,46198.82,46078.51,46155.23,871.862,46125.1567259465,46037.7426528461,0
35,1629055200000,46155.22,46179.99,46105.93,46137.23,515.397,46126.6658852032,46044.1611913722,0
36,1629055500000,46137.22,46248.95,46135.15,46228.83,859.788,46139.4363995528,46056.0753080578,0
37,1629055800000,46228.83,46298,46225.36,46283.61,464.311,46157.4580996087,46070.7549656025,0
38,1629056100000,46283.61,46314.99,46176,46270.04,1105.606,46171.5308371576,46083.6120645959,0
39,1629056400000,46270.04,46347.93,46270.04,46338.27,831.434,46192.3732325129,46100.0416088155,0
40,1629056700000,46338.27,46348.82,46274.65,46317.22,742.009,46207.9790784488,46114.0531179242,0
41,1629057000000,46317.22,46450.04,46310,46320.07,1696.132,46221.9904436427,46127.344529671,0
42,1629057300000,46320.07,46340,46266.19,46335.28,768.897,46236.1516381873,46140.7597213051,0
43,1629057600000,46335.28,46378.73,46281.83,46317.84,525.29,46246.3626834139,46152.1842554145,0
44,1629057900000,46321.56,46331.85,46257.21,46297.23,474.185,46252.7210979872,46161.5420453877,0
45,1629058200000,46297.81,46395.19,46285.34,46385.01,544.342,46269.2572107388,46175.9593327821,0
46,1629058500000,46385,46437.12,46350,46419,843.454,46287.9750593964,46191.6393758284,0
47,1629058800000,46419.32,46515.52,46419.31,46473.66,1798.037,46311.1856769719,46209.8342548072,0
48,1629059100000,46473.65,46494.99,46424.57,46465.06,1011.292,46330.4199673504,46226.3004319164,0
49,1629059400000,46463.51,46755.25,46459.25,46611.5,4373.942,46365.5549714316,46251.1520169541,0
50,1629059700000,46611.5,46620.61,46480,46537.91,1611.057,46387.0993500027,46269.6525319893,0
51,1629060000000,46537.9,46588.54,46500,46564.7,836.248,46409.2994312523,46288.6878525061,0
52,1629060300000,46564.7,46673.93,46506.24,46642.76,1024.424,46438.4820023458,46311.5312168606,0
53,1629060600000,46642.76,46669.43,46604.29,46659.99,777.599,46466.1705020526,46334.012428676,0
54,1629060900000,46659.99,46745.06,46620,46684.54,1139.161,46493.466689296,46356.6271106969,0
55,1629061200000,46684.55,46787.97,46684.55,46755.1,1585.576,46526.170853134,46382.3350390391,0
