Date,Open,High,Low,Close,Volume
1629044700000,46111.48,46169.09,46046.91,46127.81,1045.589
1629045000000,46127.81,46136.6,46024.29,46040,527.605
1629045300000,46042.88,46060,45979.44,46053.82,939.611
1629045600000,46053.81,46068.39,45935.89,45959.28,1029.141
1629045900000,45959.28,45999,45922.81,45987.02,705.913
1629046200000,45989.74,46006.95,45906.05,45914.78,709.796
1629046500000,45914.78,45930.44,45860,45898.61,894.798
1629046800000,45898.61,45976.1,45700,45709.51,2191.851
1629047100000,45709.74,45799,45672.14,45756.81,2757.955
1629047400000,45756.8,45798,45710.92,45729.99,802.193
1629047700000,45729.98,45760,45659.1,45749.58,1824.836
1629048000000,45749.59,45771.23,45672.62,45754.71,946.169
1629048300000,45754.7,45996.99,45751.24,45908.58,2661.413
1629048600000,45909.07,46032.06,45875.42,45992.26,2332.811
1629048900000,45996.59,45996.59,45867.29,45920.9,756.507
1629049200000,45920.9,46007.93,45865.57,45985,759.569
1629049500000,45985.01,46090,45950,46012.53,1777.235
1629049800000,46015.58,46057.51,45992.44,46012.73,424.959
1629050100000,46012.74,46023.57,45937.94,45989,783.483
1629050400000,45988.99,46066,45946,46049.2,970.905
1629050700000,46049.2,46086.48,45980.5,46022.91,843.507
1629051000000,46022.91,46071.07,45993.25,46060,482.982
1629051300000,46059.99,46059.99,45974.71,46000,392.691
1629051600000,46000,46016.52,45918.7,45953.77,567.127
1629051900000,45953.76,46016.6,45950,46006.41,303.14
1629052200000,46006.01,46006.73,45881.1,45899.25,594.095
1629052500000,45899.24,46066.47,45860.03,46051.18,1645.609
1629052800000,46051.18,46300,45959.43,46250.75,4930.819
1629053100000,46250.75,46250.76,46100,46129.22,1035.649
1629053400000,46129.66,46250,46129.66,46246.92,928.448
1629053700000,46245.78,46330,46185,46290.45,1587.092
1629054000000,46290.46,46400,46221,46229.99,2281.4
1629054300000,46229.99,46238.96,46171.62,46180.43,1056.367
1629054600000,46180.42,46190,46133.36,46179,637.94
1629054900000,46178.99,46198.82,46078.51,46155.23,871.862
1629055200000,46155.22,46179.99,46105.93,46137.23,515.397
1629055500000,46137.22,46248.95,46135.15,46228.83,859.788
1629055800000,46228.83,46298,46225.36,46283.61,464.311
1629056100000,46283.61,46314.99,46176,46270.04,1105.606
1629056400000,46270.04,46347.93,46270.04,46338.27,831.434
1629056700000,46338.27,46348.82,46274.65,46317.22,742.009
1629057000000,46317.22,46450.04,46310,46320.07,1696.132
1629057300000,46320.07,46340,46266.19,46335.28,768.897
1629057600000,46335.28,46378.73,46281.83,46317.84,525.29
1629057900000,46321.56,46331.85,46257.21,46297.23,474.185
1629058200000,46297.81,46395.19,46285.34,46385.01,544.342
1629058500000,46385,46437.12,46350,46419,843.454
1629058800000,46419.32,46515.52,46419.31,46473.66,1798.037
1629059100000,46473.65,46494.99,46424.57,46465.06,1011.292
1629059400000,46463.51,46755.25,46459.25,46611.5,4373.942
1629059700000,46611.5,46620.61,46480,46537.91,1611.057
1629060000000,46537.9,46588.54,46500,46564.7,836.248
1629060300000,46564.7,46673.93,46506.24,46642.76,1024.424
1629060600000,46642.76,46669.43,46604.29,46659.99,777.599
1629060900000,46659.99,46745.06,46620,46684.54,1139.161
1629061200000,46684.55,46787.97,46684.55,46755.1,1585.576
1629061500000,46755.09,46755.1,46673.26,46741.8,985
1629061800000,46741.43,46770.95,46677.9,46764.96,831.464
1629062100000,46764.97,46917.96,46764.97,46829.67,2920.098
1629062400000,46829.67,46831.32,46706.92,46787,1216.129
1629062700000,46786.99,46787,46710.47,46712.07,665.752
1629063000000,46712.08,46755.89,46702.4,46751.34,517.861
1629063300000,46752.73,46765,46465,46689.41,2420.847
1629063600000,46689.41,46856.55,46689.41,46849.98,1153.114
1629063900000,46849.98,47000,46846.95,46916.88,2338.387
1629064200000,46916.89,46979.91,46842.18,46890.7,1233.631
1629064500000,46890.71,46894.28,46808.98,46855.07,849.912
1629064800000,46855.07,47119,46844.6,47115.37,2460.138
1629065100000,47115.37,47180,47006.07,47030.31,3219.107
1629065400000,47041.73,47112,47008.53,47014.71,870.364
1629065700000,47014.71,47190,47001.69,47182.42,1008.734
1629066000000,47182.43,47194.87,47064,47091.43,1425.363
1629066300000,47091.43,47171.8,47091.43,47162.43,776.886
1629066600000,47162.43,47190,47077.03,47135.85,865.758
1629066900000,47135.85,47166.47,47101,47109.97,720.571
1629067200000,47109.97,47143.46,47066,47101.89,696.859
1629067500000,47101.87,47260,47101.87,47227.12,2119.792
1629067800000,47227.13,47266.44,47165.74,47182.28,1093.816
1629068100000,47182.29,47234.81,47175.22,47226.61,476.579
1629068400000,47226.62,47328,47131.2,47135.01,2264.698
1629068700000,47135.01,47211.27,47116,47153.25,968.441
1629069000000,47153.25,47287,47153.25,47220.4,965.678
1629069300000,47218.43,47224.97,47018.38,47041.04,1578.668
1629069600000,47041.09,47160,47020.63,47060.01,1035.306
1629069900000,47060.03,47148.51,47060.02,47120,748.101
